trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,start_service_area_id,end_service_area_id,pickup_type,dropoff_type,shape_dist_traveled
APCR RS 1,,5:30:00,,0,,APCR,,2,2,
APCR RS 1,,19:00:00,,1,,,APCR,,,
BWCR RS 1,,5:30:00,,0,,BWCR,,2,2,
BWCR RS 1,,19:00:00,,1,,,BWCR,,,
BRCR RS 1,,5:30:00,,0,,BRCR,,2,2,
BRCR RS 1,,19:00:00,,1,,,BRCR,,,
BMCR RS 1,,5:30:00,,0,,BMCR,,2,2,
BMCR RS 1,,19:00:00,,1,,,BMCR,,,
DRCR RS 1,,5:30:00,,0,,DRCR,,2,2,
DRCR RS 1,,19:00:00,,1,,,DRCR,,,
EVCR RS 1,,5:30:00,,0,,EVCR,,2,2,
EVCR RS 1,,19:00:00,,1,,,EVCR,,,
EVCR RS 2,,5:30:00,,0,,EVCR,,2,2,
EVCR RS 2,,19:00:00,,1,,,EVCR,,,
FHCR RS 1,,5:30:00,,0,,FHCR,,2,2,
FHCR RS 1,,19:00:00,,1,,,FHCR,,,
GDCR RS 1,,5:30:00,,0,,GDCR,,2,2,
GDCR RS 1,,20:00:00,,1,,,GDCR,,,
GDCR RS 2,,8:00:00,,0,,GDCR,,2,2,
GDCR RS 2,,19:00:00,,1,,,GDCR,,,
GMCR RS 1,,5:30:00,,0,,GMCR,,2,2,
GMCR RS 1,,20:00:00,,1,,,GMCR,,,
HRCR RS 1,,6:00:00,,0,,HRCR,,2,2,
HRCR RS 1,,18:00:00,,1,,,HRCR,,,
ILCR RS 1,,5:30:00,,0,,ILCR,,2,2,
ILCR RS 1,,22:00:00,,1,,,ILCR,,,
NICR RS 1,,5:30:00,,0,,NICR,,2,2,
NICR RS 1,,19:00:00,,1,,,NICR,,,
SICR RS 1,,5:30:00,,0,,SICR,,2,2,
SICR RS 1,,19:00:00,,1,,,SICR,,,
LNCR RS 1,,5:30:00,,0,,LNCR,,2,2,
LNCR RS 1,,19:00:00,,1,,,LNCR,,,
LGCR RS 1,,6:30:00,,0,,LGCR,,2,2,
LGCR RS 1,,19:30:00,,1,,,LGCR,,,
LGCR RS 2,,9:00:00,,0,,LGCR,,2,2,
LGCR RS 2,,18:00:00,,1,,,LGCR,,,
LGCR RS 3,,9:00:00,,0,,LGCR,,2,2,
LGCR RS 3,,18:00:00,,1,,,LGCR,,,
LSCR RS 1,,5:30:00,,0,,LSCR,,2,2,
LSCR RS 1,,22:00:00,,1,,,LSCR,,,
MDCR RS 1,,5:30:00,,0,,MDCR,,2,2,
MDCR RS 1,,19:00:00,,1,,,MDCR,,,
ORCR RS 1,,5:30:00,,0,,ORCR,,2,2,
ORCR RS 1,,19:00:00,,1,,,ORCR,,,
PKCR RS 1,,5:30:00,,0,,PKCR,,2,2,
PKCR RS 1,,18:00:00,,1,,,PKCR,,,
SJCR RS 1,,5:30:00,,0,,SJCR,,2,2,
SJCR RS 1,,22:00:00,,1,,,SJCR,,,
SJCR RS 2,,8:00:00,,0,,SJCR,,2,2,
SJCR RS 2,,22:00:00,,1,,,SJCR,,,
SPCR RS 1,,5:30:00,,0,,SPCR,,2,2,
SPCR RS 1,,19:00:00,,1,,,SPCR,,, 
TNCR RS 1,,5:30:00,,0,,TNCR,,2,2,
TNCR RS 1,,19:00:00,,1,,,TNCR,,,
APCR SD 1,,5:45:00,26600,0,,,,0,1,
APCR SD 1,,,,1,,APCR,,2,2,
APCR SD 1,6:41:00,,,2,,,APCR,,,
APCR SD 2,,6:45:00,26600,0,,,,0,1,
APCR SD 2,,,,1,,APCR,,2,2,
APCR SD 2,7:41:00,,,2,,,APCR,,,
APCR SD 3,,7:45:00,26600,0,,,,0,1,
APCR SD 3,,,,1,,APCR,,2,2,
APCR SD 3,8:41:00,,,2,,,APCR,,,
APCR SD 4,,8:45:00,26600,0,,,,0,1,
APCR SD 4,,,,1,,APCR,,2,2,
APCR SD 4,14:41:00,,,2,,,APCR,,,
APCR SD 5,,14:45:00,26600,0,,,,0,1,
APCR SD 5,,,,1,,APCR,,2,2,
APCR SD 5,15:41:00,,,2,,,APCR,,,
APCR SD 6,,15:45:00,26600,0,,,,0,1,
APCR SD 6,,,,1,,APCR,,2,2,
APCR SD 6,16:41:00,,,2,,,APCR,,,
APCR SD 7,,16:45:00,26600,0,,,,0,1,
APCR SD 7,,,,1,,APCR,,2,2,
APCR SD 7,17:41:00,,,2,,,APCR,,,
APCR SD 8,,17:45:00,26600,0,,,,0,1,
APCR SD 8,,,,1,,APCR,,2,2,
APCR SD 8,19:00:00,,,2,,,APCR,,,
BWCR SD 1,,5:37:00,26293,0,,,,0,1,
BWCR SD 1,,,,1,,BWCR,,2,2,
BWCR SD 1,6:05:00,,,2,,,BWCR,,,
BWCR SD 2,,6:07:00,26293,0,,,,0,1,
BWCR SD 2,,,,1,,BWCR,,2,2,
