route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
APCR RS,WK,APCR RS 1,Arapahoe Reservation Service,,,
BWCR RS,WK,BWCR RS 1,Belleview Reservation Service,,,
BRCR RS,WK,BRCR RS 1,Brighton Reservation Service,,,
BMCR RS,WK,BMCR RS 1,Broomfield Reservation Service,,,
DRCR RS,WK,DRCR RS 1,Dry Creek Reservation Service,,,
EVCR RS,WK,EVCR RS 1,Evergreen Reservation Service,,,
EVCR RS,SA,EVCR RS 2,Evergreen Reservation Service,,,
FHCR RS,WK,FHCR RS 1,Federal Heights Reservation Service,,,
GDCR RS,WK,GDCR RS 1,Golden Reservation Service,,,
GDCR RS,SA,GDCR RS 2,Golden Reservation Service,,,
GMCR RS,WK,GMCR RS 1,Green Mountain Reservation Service,,,
HRCR RS,WK,HRCR RS 1,Highlands Ranch Reservation Service,,,
ILCR RS,WK,ILCR RS 1,Interlocken/Westmoor Reservation Service,,,
NICR RS,WK,NICR RS 1,Inverness North Reservation Service,,,
SICR RS,WK,SICR RS 1,Inverness South Reservation Service,,,
LNCR RS,WK,LNCR RS 1,Lone Tree Reservation Service,,,
LGCR RS,WK,LGCR RS 1,Longmont Reservation Service,,,
LGCR RS,SA,LGCR RS 2,Longmont Reservation Service,,,
LGCR RS,SU,LGCR RS 3,Longmont Reservation Service,,,
LSCR RS,WK,LSCR RS 1,Louisville Reservation Service,,,
MDCR RS,WK,MDCR RS 1,Meridian Reservation Service,,,
ORCR RS,WK,ORCR RS 1,Orchard Reservation Service,,,
PKCR RS,WK,PKCR RS 1,Parker Reservation Service,,,
SJCR RS,WK,SJCR RS 1,South Jeffco Reservation Service,,,
SJCR RS,SA,SJCR RS 2,South Jeffco Reservation Service,,,
TNCR RS,WK,TNCR RS 1,Thornton Reservation Service,,,
APCR SD,WK,APCR SD 1,Arapahoe Scheduled Departures,,APCR SD,
APCR SD,WK,APCR SD 2,Arapahoe Scheduled Departures,,APCR SD,
APCR SD,WK,APCR SD 3,Arapahoe Scheduled Departures,,APCR SD,
APCR SD,WK,APCR SD 4,Arapahoe Scheduled Departures,,APCR SD,
APCR SD,WK,APCR SD 5,Arapahoe Scheduled Departures,,APCR SD,
APCR SD,WK,APCR SD 6,Arapahoe Scheduled Departures,,APCR SD,
APCR SD,WK,APCR SD 7,Arapahoe Scheduled Departures,,APCR SD,
APCR SD,WK,APCR SD 8,Arapahoe Scheduled Departures,,APCR SD,
BWCR SD,WK,BWCR SD 1,Belleview Scheduled Departures,,BWCR SD,
BWCR SD,WK,BWCR SD 2,Belleview Scheduled Departures,,BWCR SD,
