trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset
t_1246400_b_26562_tn_0,10:40:00,10:40:00,9469,1,,0,0,0,1,1,1,,,,,,,,
t_1246400_b_26562_tn_0,11:00:00,11:00:00,2537574,2,,0,0,30425.5545567605,1,1,1,,,,,,,,
t_1246400_b_26562_tn_0,11:50:00,11:50:00,820643,3,,0,0,90441.8543184901,1,1,1,,,,,,,,
t_1246401_b_26562_tn_0,13:40:00,13:40:00,9469,1,,0,0,0,1,1,1,,,,,,,,
t_1246401_b_26562_tn_0,14:00:00,14:00:00,2537574,2,,0,0,30425.5545567605,1,1,1,,,,,,,,
t_1246401_b_26562_tn_0,14:50:00,14:50:00,820643,3,,0,0,90441.8543184901,1,1,1,,,,,,,,
t_1246402_b_26562_tn_0,16:15:00,16:15:00,9469,1,,0,0,0,1,1,1,,,,,,,,
t_1246402_b_26562_tn_0,16:35:00,16:35:00,2537574,2,,0,0,30425.5545567605,1,1,1,,,,,,,,
t_1246402_b_26562_tn_0,17:25:00,17:25:00,820643,3,,0,0,90441.8543184901,1,1,1,,,,,,,,
t_1246403_b_26562_tn_0,07:00:00,07:00:00,2430903,1,,0,0,0,0,1,1,,,,,,,,
t_1246403_b_26562_tn_0,07:25:00,07:25:00,2454788,2,,0,0,30519.3856732352,0,1,1,,,,,,,,
t_1246403_b_26562_tn_0,07:30:00,07:30:00,9469,3,,0,0,35221.35541602,0,1,1,,,,,,,,
t_1246404_b_26562_tn_0,09:40:00,09:40:00,2430903,1,,0,0,0,0,1,1,,,,,,,,
t_1246404_b_26562_tn_0,10:05:00,10:05:00,2454788,2,,0,0,30519.3856732352,0,1,1,,,,,,,,
t_1246404_b_26562_tn_0,10:10:00,10:10:00,9469,3,,0,0,35221.35541602,0,1,1,,,,,,,,
t_1246405_b_26562_tn_0,16:50:00,16:50:00,2430903,1,,0,0,0,0,1,1,,,,,,,,
t_1246405_b_26562_tn_0,17:15:00,17:15:00,2454788,2,,0,0,30519.3856732352,0,1,1,,,,,,,,
t_1246405_b_26562_tn_0,17:20:00,17:20:00,9469,3,,0,0,35221.35541602,0,1,1,,,,,,,,
t_1246408_b_26562_tn_0,10:40:00,10:40:00,9469,1,,0,0,0,1,1,1,,,,,,,,
t_1246408_b_26562_tn_0,11:00:00,11:00:00,2537574,2,,0,0,30425.5545567605,1,1,1,,,,,,,,
t_1246408_b_26562_tn_0,11:50:00,11:50:00,820643,3,,0,0,90441.8543184901,1,1,1,,,,,,,,
t_1246409_b_26562_tn_0,13:40:00,13:40:00,9469,1,,0,0,0,1,1,1,,,,,,,,
t_1246409_b_26562_tn_0,14:00:00,14:00:00,2537574,2,,0,0,30425.5545567605,1,1,1,,,,,,,,
