stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
11083,3rd St & Main Ave {1304},,39.718633,-105.11499,,,
11085,3rd St & Center Ave {1304},,39.720924,-105.116665,,,
11086,3rd St & Center Ave {1304},,39.720871,-105.116516,,,
11621,6th St & North Ave {1304},,39.722316,-105.123198,,,
11622,6th St & North Ave {1304},,39.7224,-105.122976,,,
12160,S Alkire St & W Alaska Pl {1304},,39.707951,-105.147741,,,
12163,S Alkire St & W Ohio Ave {1304},,39.702727,-105.147693,,,
12684,W Cedar Dr & S Zang Way {1304},,39.712156,-105.143769,,,
12685,Center Ave & 5th St {1304},,39.720671,-105.119003,,,
12687,Center Ave & 5th St {1304},,39.720637,-105.118809,,,
12688,Center Ave & 6th St {1304},,39.720012,-105.120387,,,
12689,Center Ave & 6th St {1304},,39.719864,-105.120312,,,
13984,Ford St & 24th St {1109},,39.746175,-105.20885,,,
14630,Jackson St & 24th St {1109},,39.745858,-105.208869,,,
16782,S Union Blvd & W Cedar Dr {1304},,39.712124,-105.133031,,,
16788,S Union Blvd & W Ellsworth Ave {1304},,39.71492,-105.133116,,,
16789,Union Blvd & W Ellsworth Ave {1304},,39.714867,-105.133462,,,
17932,Main Ave & 4th St {1304},,39.716672,-105.114095,,,
19235,W Cedar Dr & S Union Blvd {1304},,39.71181,-105.13383,,,
19236,W Cedar Dr & S Van Gordon St {1304},,39.712283,-105.137422,,,
19237,W Cedar Dr & S Zang Way {1304},,39.712279,-105.144792,,,
19238,S Alkire St & W Alaska Pl {1304},,39.707722,-105.147893,,,
19239,S Alkire St & S Arbutus St {1304},,39.704518,-105.147865,,,
19990,Inverness Dr & Inverness Pl  {1404},,39.570234,-104.859522,,,
20518,W Ohio Ave & S Alkire St {1304},,39.702559,-105.147846,,,
20519,W Ohio Ave & W Mississippi Ct {1304},,39.70033,-105.144739,,,
20520,W Ohio Ave & W Alameda Dr {1304},,39.699354,-105.143756,,,
20521,W Ohio Ave & S Zinnia Ct {1304},,39.701923,-105.145358,,,
21778,W Ohio Ave & S Zinnia Ct {1304},,39.701937,-105.145585,,,
21792,Jefferson County Social Services {1109},,39.733166,-105.209323,,,
21886,8th St & Main Ave {1304},,39.714117,-105.12262,,,
21887,Federal Center: Building # 810 {1304},,39.711852,-105.125347,,,
21888,8th St & Main Ave {1304},,39.713703,-105.12287,,,
21889,Main Ave & 6th St {1304},,39.715192,-105.117862,,,
21997,Main Ave & 5th St {1304},,39.716163,-105.116099,,,
22762,Jefferson County Pkwy & Weimer St {1109},,39.729962,-105.203802,,,
23752,Jefferson County Pkwy & W 10th Ave {1109},,39.731351,-105.206124,,,
24397,Washington Ave & 10th St {1109},,39.757246,-105.222922,,,
24398,Ford St & 13th St {1109},,39.755079,-105.217935,,,
24822,Hwy 121 & Kassler Rd {1303},,39.493805,-105.095764,,,
24823,Hwy 121 & Kassler Rd {1303},,39.493672,-105.095962,,,
24884,Littleton Downtown Station Gate A,,39.610633,-105.015966,,,
26139,Arapahoe at Village Center Station Gate J {1403},,39.600781,-104.890087,,,
26183,Littleton / Mineral Station Gate E {1303},,39.581089,-105.025508,,,
26269,Littleton / Mineral Station Gate A {1303},,39.58106,-105.026048,,,
26291,Dry Creek Station Gate B {1406},,39.578878,-104.878904,,,
26293,Belleview Station Gate A {1411},,39.627557,-104.904545,,,
26295,Lincoln Ave Station Gate C  {1401},,39.545266,-104.869684,,,
26313,County Line Station Gate B {1405},,39.561862,-104.870092,,,
26346,Dry Creek Station Gate C {1404},,39.578883,-104.873712,,,
26499,Jefferson County Workforce Building {1109},,39.734241,-105.21012,,,
26546,6th-Kimbark CnR {1103},,40.168954,-105.101542,,,
26557,Lincoln Station CnR {1407},,39.545735,-104.86887,,,
26561,US 36 & McCaslin Station,,39.959384,-105.168394,,,
26562,US 36 & McCaslin Station {1102},,39.959421,-105.168545,,,
26563,Wagon Road CnR {1203},,39.912281,-104.993818,,,
26575,Evergreen PnR CnR {1302},,39.63884,-105.331908,,,
26599,Brighton CnR {1201},,39.984436,-104.823103,,,
26600,Arapahoe CnR {1409},,39.601297,-104.887959,,,
26606,Orchard Station CnR {1403},,39.613556,-104.896318,,,
26609,Orchard Station CnR {1403},,39.613532,-104.89629,,,
26610,Parker CnR {1408},,39.523557,-104.763569,,,
33530,US 36 & Broomfield Station Gate F,,39.906729,-105.086346,,,
33531,US 36 & Broomfield Station Gate F {Boarding} {1105},,39.906755,-105.086355,,,
33537,US 36 & Broomfield Station Gate M,,39.9067,-105.084407,,,
